word,valence,arousal,dominance,emotion,pos
unforgiving,0.406,0.63,0.793,anger,ADJ
vigilant,0.469,0.643,0.791,anger,ADJ
aggresive,0.059,0.971,0.639,anger,ADJ
warlike,0.367,0.847,0.779,anger,ADJ
unpredictable,0.429,0.769,0.515,anger,ADJ
uphill,0.396,0.723,0.572,anger,ADJ
abrupt,0.271,0.819,0.545,anger,ADJ
explosive,0.156,0.943,0.663,anger,ADJ
frightening,0.122,0.969,0.625,anger,ADJ
frenzied,0.365,0.951,0.655,anger,ADJ
incendiary,0.281,0.81,0.598,anger,ADJ
incessant,0.438,0.76,0.544,anger,ADJ
incessantly,0.417,0.765,0.606,anger,ADV
frenetic,0.429,0.93,0.616,anger,ADJ
titanic,0.427,0.786,0.795,anger,ADJ
aloud,0.458,0.713,0.75,anger,ADV
tidal wave,0.24,0.894,0.736,anger,ADJ
fiendish,0.167,0.846,0.591,anger,ADJ
frantic,0.21,0.89,0.627,anger,ADJ
exorbitant,0.398,0.865,0.825,anger,ADJ
exigent,0.385,0.611,0.792,anger,ADJ
fiery,0.418,0.85,0.721,anger,ADJ
hazardous,0.061,0.75,0.67,anger,ADJ
abruptly,0.25,0.808,0.556,anger,ADV
apocalyptic,0.173,0.88,0.75,anger,ADJ
atomic,0.327,0.817,0.713,anger,ADJ
wild,0.312,0.922,0.75,anger,ADJ
ambitious,0.484,0.821,0.717,anger,ADJ
extrajudicial,0.365,0.686,0.667,anger,ADJ
alarming,0.204,0.89,0.585,anger,ADJ
heady,0.448,0.806,0.565,anger,ADJ
extraterrestrial,0.51,0.833,0.792,anger,ADJ
unrelenting,0.5,0.79,0.875,anger,ADJ
abusive,0.125,0.903,0.567,anger,ADJ
forcibly,0.365,0.704,0.647,anger,ADV
furiously,0.062,0.925,0.657,anger,ADV
furious,0.062,0.953,0.598,anger,ADJ
forceful,0.533,0.673,0.898,anger,ADJ
ferocious,0.167,0.915,0.776,anger,ADJ
impulsive,0.365,0.864,0.607,anger,ADJ
hardcore,0.25,0.721,0.585,disgust,ADJ
dissociative,0.281,0.615,0.397,disgust,ADJ
hastily,0.271,0.609,0.609,disgust,ADV
fishy,0.224,0.601,0.471,disgust,ADJ
multiple sclerosis,0.188,0.587,0.483,disgust,ADJ
murky,0.143,0.618,0.37,disgust,ADJ
harsh,0.25,0.65,0.623,disgust,ADJ
final,0.276,0.575,0.508,disgust,ADJ
mortal,0.196,0.786,0.51,disgust,ADJ
exhaustive,0.388,0.635,0.604,disgust,ADJ
disorderly,0.188,0.748,0.385,disgust,ADV
pathological,0.22,0.602,0.58,disgust,ADJ
fraught,0.266,0.662,0.596,disgust,ADJ
parasitic,0.037,0.6,0.364,disgust,ADJ
frightful,0.125,0.755,0.455,disgust,ADJ
painfully,0.156,0.72,0.407,disgust,ADV
frivolous,0.271,0.565,0.377,disgust,ADJ
derogatory,0.122,0.58,0.404,disgust,ADJ
pagan,0.292,0.578,0.542,disgust,ADJ
garish,0.306,0.625,0.311,disgust,ADJ
overpriced,0.271,0.556,0.472,disgust,ADJ
genital,0.385,0.694,0.453,disgust,ADJ
overhead,0.344,0.7,0.538,disgust,ADV
detrimental,0.203,0.679,0.387,disgust,ADJ
disreputable,0.104,0.688,0.353,disgust,ADJ
ghastly,0.125,0.79,0.472,disgust,ADV
ghostly,0.26,0.764,0.43,disgust,ADV
green snake,0.229,0.634,0.614,disgust,ADJ
difficult,0.235,0.7,0.508,disgust,ADJ
oppressive,0.276,0.59,0.667,disgust,ADJ
opposite,0.235,0.545,0.408,disgust,ADJ
ominous,0.255,0.73,0.51,disgust,ADJ
grotesque,0.135,0.788,0.5,disgust,ADJ
gruesome,0.094,0.837,0.474,disgust,ADJ
disastrous,0.071,0.741,0.439,disgust,ADJ
noxious,0.177,0.585,0.379,disgust,ADJ
nefarious,0.184,0.72,0.528,disgust,ADJ
dismissive,0.188,0.541,0.43,disgust,ADJ
disobedient,0.276,0.706,0.353,disgust,ADJ
overburden,0.115,0.755,0.546,disgust,ADV
obstructive,0.204,0.65,0.613,disgust,ADJ
heavy,0.25,0.454,0.6,disgust,ADJ
miffed,0.204,0.726,0.429,disgust,ADJ
extraneous,0.276,0.625,0.478,disgust,ADJ
inflammatory,0.177,0.642,0.404,disgust,ADJ
impatiently,0.194,0.75,0.539,disgust,ADV
impatient,0.25,0.708,0.429,disgust,ADJ
inhumane,0.104,0.587,0.402,disgust,ADJ
immoral,0.143,0.622,0.385,disgust,ADJ
inquisitive,0.301,0.637,0.615,disgust,ADJ
insatiable,0.375,0.656,0.558,disgust,ADJ
insidious,0.146,0.622,0.48,disgust,ADJ
insolent,0.112,0.663,0.343,disgust,ADJ
intolerable,0.146,0.66,0.439,disgust,ADJ
intolerant,0.135,0.676,0.509,disgust,ADJ
intoxicating,0.224,0.76,0.464,disgust,ADJ
invasive,0.194,0.73,0.598,disgust,ADJ
invidious,0.112,0.65,0.364,disgust,ADJ
impudent,0.302,0.604,0.462,disgust,ADJ
errant,0.205,0.602,0.375,disgust,ADJ
infectious,0.142,0.76,0.422,disgust,ADJ
inaccessible,0.083,0.585,0.446,disgust,ADJ
inconceivable,0.198,0.552,0.561,disgust,ADJ
inconvenient,0.224,0.61,0.375,disgust,ADJ
incorrigible,0.13,0.667,0.5,disgust,ADJ
incidental,0.281,0.61,0.404,disgust,ADJ
incestuous,0.188,0.736,0.442,disgust,ADJ
indefensible,0.173,0.647,0.484,disgust,ADJ
indignant,0.26,0.6,0.423,disgust,ADJ
irrational,0.125,0.648,0.394,disgust,ADJ
experimental,0.417,0.764,0.396,disgust,ADJ
inadmissible,0.188,0.636,0.389,disgust,ADJ
evasive,0.117,0.596,0.425,disgust,ADJ
inexcusable,0.271,0.582,0.546,disgust,ADJ
inexplicable,0.224,0.635,0.443,disgust,ADJ
inexpressible,0.198,0.608,0.364,disgust,ADJ
infamous,0.146,0.58,0.472,disgust,ADJ
infamy,0.177,0.676,0.421,disgust,ADJ
inadvertently,0.302,0.541,0.549,disgust,ADV
fetish,0.307,0.706,0.5,disgust,ADJ
elusive,0.229,0.615,0.466,disgust,ADJ
irregularly,0.292,0.565,0.397,disgust,ADV
loathsome,0.12,0.694,0.343,disgust,ADJ
horribly,0.05,0.631,0.454,disgust,ADV
homophobic,0.13,0.736,0.464,disgust,ADJ
heretical,0.229,0.63,0.487,disgust,ADJ
heretic,0.09,0.71,0.447,disgust,ADJ
fatal,0.061,0.775,0.509,disgust,ADJ
fateful,0.29,0.583,0.402,disgust,ADJ
heinous,0.133,0.792,0.471,disgust,ADJ
hectic,0.167,0.811,0.438,disgust,ADJ
heartless,0.071,0.652,0.4,disgust,ADJ
manipulative,0.177,0.724,0.546,disgust,ADJ
marginal,0.235,0.644,0.345,disgust,ADJ
melodramatic,0.235,0.692,0.368,disgust,ADJ
haughty,0.24,0.708,0.588,disgust,ADJ
messedup,0.333,0.615,0.358,disgust,ADV
loath,0.135,0.714,0.445,disgust,ADV
horrid,0.052,0.765,0.419,disgust,ADJ
horrific,0.094,0.846,0.481,disgust,ADJ
litigant,0.219,0.577,0.696,disgust,ADJ
egregious,0.15,0.716,0.442,disgust,ADJ
egotistical,0.156,0.667,0.363,disgust,ADJ
irreverent,0.191,0.694,0.634,disgust,ADJ
irreversible,0.17,0.541,0.667,disgust,ADJ
eerie,0.265,0.771,0.442,disgust,ADJ
judgmental,0.33,0.602,0.579,disgust,ADJ
hypocritical,0.048,0.74,0.415,disgust,ADJ
irreconcilable,0.146,0.667,0.375,disgust,ADJ
hydrocephalus,0.286,0.629,0.393,disgust,ADV
lawless,0.219,0.69,0.42,disgust,ADJ
hot sauce,0.333,0.74,0.509,disgust,ADJ
laxative,0.271,0.55,0.528,disgust,ADJ
lecherous,0.135,0.704,0.376,disgust,ADJ
leery,0.337,0.64,0.41,disgust,ADJ
libelous,0.125,0.735,0.436,disgust,ADJ
fallacious,0.271,0.587,0.39,disgust,ADJ
hurtful,0.104,0.68,0.463,disgust,ADJ
inhuman,0.107,0.66,0.492,disgust,ADJ
lewd,0.188,0.673,0.412,disgust,ADJ
deleterious,0.297,0.725,0.44,disgust,ADJ
biggestfear,0.062,0.73,0.48,disgust,ADV
subversive,0.198,0.765,0.5,disgust,ADJ
belligerent,0.344,0.68,0.594,disgust,ADJ
superstitious,0.281,0.545,0.514,disgust,ADJ
suspicious,0.153,0.745,0.431,disgust,ADJ
terribly,0.061,0.731,0.43,disgust,ADV
thankless,0.146,0.5,0.497,disgust,ADJ
thirsty,0.281,0.66,0.31,disgust,ADJ
thorny,0.177,0.69,0.5,disgust,ADJ
bipolar,0.208,0.685,0.426,disgust,ADJ
bad,0.125,0.625,0.373,disgust,ADJ
torrid,0.281,0.625,0.517,disgust,ADJ
awkward,0.296,0.65,0.358,disgust,ADJ
awful,0.061,0.786,0.45,disgust,ADJ
tortious,0.312,0.724,0.491,disgust,ADJ
averse,0.253,0.569,0.492,disgust,ADJ
tough,0.344,0.588,0.742,disgust,ADJ
traitorous,0.073,0.745,0.412,disgust,ADJ
atrocious,0.073,0.811,0.445,disgust,ADJ
tricky,0.219,0.651,0.5,disgust,ADJ
thoughtless,0.194,0.58,0.452,disgust,ADJ
truculent,0.21,0.731,0.498,disgust,ADJ
bitchy,0.188,0.7,0.373,disgust,ADJ
bitterly,0.194,0.685,0.362,disgust,ADV
burlesque,0.327,0.615,0.343,disgust,ADJ
bureaucratic,0.28,0.63,0.573,disgust,ADJ
burdensome,0.229,0.696,0.419,disgust,ADJ
bumpy,0.306,0.683,0.419,disgust,ADJ
sorely,0.284,0.727,0.37,disgust,ADV
sour,0.276,0.594,0.373,disgust,ADJ
sourpuss,0.188,0.62,0.382,disgust,ADJ
soviet,0.347,0.58,0.536,disgust,ADJ
spastic,0.24,0.541,0.491,disgust,ADJ
bitter,0.218,0.627,0.411,disgust,ADJ
speculative,0.276,0.591,0.464,disgust,ADJ
breakable,0.194,0.667,0.408,disgust,ADJ
stark,0.33,0.63,0.577,disgust,ADJ
steep,0.312,0.612,0.321,disgust,ADJ
stiff,0.158,0.459,0.569,disgust,ADJ
strange,0.314,0.663,0.395,disgust,ADJ
strenuous,0.104,0.66,0.481,disgust,ADJ
pernicious,0.229,0.6,0.382,disgust,ADJ
stubborn,0.157,0.702,0.575,disgust,ADJ
stuffy,0.323,0.615,0.406,disgust,ADJ
squeamish,0.176,0.656,0.453,disgust,ADJ
tumultuous,0.208,0.622,0.59,disgust,ADJ
unaccountable,0.18,0.6,0.543,disgust,ADJ
unattainable,0.22,0.635,0.571,disgust,ADJ
upset,0.071,0.68,0.33,disgust,ADJ
agoraphobia,0.127,0.712,0.438,disgust,ADV
venereal,0.302,0.654,0.424,disgust,ADJ
vicious,0.208,0.694,0.407,disgust,ADJ
vile,0.083,0.537,0.553,disgust,ADJ
villainous,0.122,0.84,0.47,disgust,ADJ
vindictive,0.092,0.83,0.5,disgust,ADJ
adverse,0.323,0.61,0.385,disgust,ADJ
viral,0.24,0.612,0.518,disgust,ADV
untraceable,0.321,0.674,0.574,disgust,ADJ
addictive,0.302,0.683,0.472,disgust,ADJ
weird,0.26,0.66,0.402,disgust,ADJ
abysmal,0.25,0.71,0.598,disgust,ADJ
workaholic,0.344,0.657,0.557,disgust,ADJ
wrathful,0.102,0.73,0.446,disgust,ADJ
abominable,0.12,0.731,0.482,disgust,ADJ
wrong,0.042,0.582,0.48,disgust,ADJ
wrongful,0.102,0.68,0.347,disgust,ADJ
abhorrent,0.229,0.75,0.474,disgust,ADJ
aberrant,0.146,0.765,0.431,disgust,ADJ
wasteful,0.173,0.73,0.409,disgust,ADJ
untenable,0.143,0.637,0.425,disgust,ADJ
unsustainable,0.255,0.65,0.406,disgust,ADJ
unscrupulous,0.094,0.727,0.465,disgust,ADJ
unbalanced,0.302,0.596,0.343,disgust,ADJ
arrogant,0.115,0.755,0.58,disgust,ADJ
unbearable,0.125,0.798,0.447,disgust,ADJ
unconscionable,0.208,0.618,0.429,disgust,ADJ
unconstitutional,0.23,0.588,0.491,disgust,ADJ
undignified,0.122,0.627,0.308,disgust,ADJ
uneasy,0.115,0.598,0.349,disgust,ADJ
unexpectedly,0.354,0.759,0.462,disgust,ADV
unexplainable,0.26,0.448,0.61,disgust,ADJ
antisocial,0.146,0.686,0.391,disgust,ADJ
unforgivable,0.276,0.743,0.49,disgust,ADJ
antagonistic,0.296,0.604,0.565,disgust,ADJ
unfriendly,0.173,0.67,0.458,disgust,ADJ
unjustifiable,0.115,0.596,0.394,disgust,ADJ
unlawful,0.094,0.759,0.402,disgust,ADJ
unmanageable,0.177,0.666,0.482,disgust,ADJ
unnatural,0.153,0.587,0.434,disgust,ADJ
unpunished,0.292,0.594,0.519,disgust,ADJ
unreachable,0.208,0.679,0.557,disgust,ADJ
unruly,0.24,0.745,0.547,disgust,ADJ
unsavory,0.071,0.637,0.353,disgust,ADJ
calamitous,0.219,0.685,0.5,disgust,ADJ
snide,0.186,0.723,0.455,disgust,ADJ
blasphemous,0.21,0.755,0.491,disgust,ADJ
sneaky,0.24,0.74,0.56,disgust,ADJ
ravenous,0.406,0.7,0.509,disgust,ADJ
recant,0.333,0.575,0.482,disgust,ADJ
redundant,0.21,0.5,0.527,disgust,ADJ
reluctant,0.292,0.63,0.432,disgust,ADJ
repellent,0.286,0.5,0.491,disgust,ADJ
repugnant,0.061,0.735,0.453,disgust,ADJ
costly,0.316,0.65,0.642,disgust,ADJ
restrictive,0.215,0.596,0.5,disgust,ADJ
corrupt,0.02,0.806,0.5,disgust,ADJ
convoluted,0.323,0.614,0.433,disgust,ADJ
contradictory,0.365,0.651,0.421,disgust,ADJ
contemptible,0.146,0.657,0.471,disgust,ADJ
contagious,0.184,0.725,0.4,disgust,ADJ
rustic,0.369,0.657,0.491,disgust,ADJ
sacrificial,0.198,0.755,0.452,disgust,ADJ
sacrilegious,0.146,0.736,0.449,disgust,ADJ
concerned,0.292,0.698,0.35,disgust,ADJ
cruelly,0.146,0.79,0.471,disgust,ADV
racist,0.061,0.673,0.482,disgust,ADJ
cryptic,0.296,0.516,0.474,disgust,ADJ
racial,0.292,0.519,0.513,disgust,ADJ
perverse,0.146,0.808,0.464,disgust,ADJ
defamatory,0.143,0.688,0.402,disgust,ADJ
possessive,0.279,0.648,0.696,disgust,ADJ
presumptuous,0.265,0.596,0.616,disgust,ADJ
pretentious,0.156,0.736,0.444,disgust,ADJ
prickly,0.333,0.587,0.456,disgust,ADV
debatable,0.181,0.61,0.474,disgust,ADJ
probationary,0.333,0.61,0.5,disgust,ADJ
complicated,0.211,0.66,0.455,disgust,ADJ
prohibitive,0.156,0.667,0.585,disgust,ADJ
darkly,0.219,0.548,0.443,disgust,ADV
promiscuous,0.214,0.8,0.436,disgust,ADJ
damn,0.073,0.784,0.431,disgust,ADV
cynical,0.156,0.76,0.474,disgust,ADJ
cynic,0.135,0.632,0.473,disgust,ADJ
punishable,0.198,0.588,0.433,disgust,ADJ
punitive,0.281,0.576,0.605,disgust,ADJ
purgatory,0.255,0.705,0.413,disgust,ADJ
darkside,0.102,0.69,0.365,disgust,ADJ
sardonic,0.208,0.679,0.446,disgust,ADJ
repulsive,0.146,0.775,0.425,disgust,ADJ
fraudulent,0.15,0.774,0.417,disgust,ADJ
centrifugal,0.306,0.651,0.48,disgust,ADJ
shameless,0.274,0.713,0.407,disgust,ADJ
catatonic,0.255,0.5,0.509,disgust,ADJ
carnivorous,0.224,0.613,0.651,disgust,ADJ
captive,0.235,0.558,0.411,disgust,ADJ
chronic,0.255,0.615,0.464,disgust,ADJ
capricious,0.221,0.65,0.5,disgust,ADJ
claustrophobic,0.092,0.755,0.4,disgust,ADJ
selfish,0.061,0.637,0.495,disgust,ADJ
smug,0.198,0.552,0.587,disgust,ADJ
sectarian,0.26,0.606,0.517,disgust,ADJ
satirical,0.323,0.615,0.538,disgust,ADJ
scratchy,0.235,0.61,0.436,disgust,ADJ
itchy,0.334,0.726,0.296,fear,ADJ
panicky,0.284,0.962,0.393,fear,ADV
hangry,0.219,0.794,0.279,fear,ADJ
intractable,0.154,0.694,0.302,fear,ADJ
paranoid,0.122,0.918,0.364,fear,ADJ
uptight,0.184,0.716,0.333,fear,ADJ
harmful,0.094,0.75,0.291,fear,ADJ
slippery,0.219,0.74,0.343,fear,ADJ
slanderous,0.057,0.8,0.337,fear,ADJ
skittish,0.156,0.815,0.172,fear,ADJ
unwell,0.143,0.64,0.221,fear,ADJ
guilty,0.135,0.77,0.352,fear,ADJ
spiteful,0.073,0.71,0.33,fear,ADJ
untimely,0.245,0.676,0.233,fear,ADJ
insufferable,0.22,0.784,0.291,fear,ADJ
spooky,0.104,0.858,0.38,fear,ADJ
hasty,0.188,0.885,0.424,fear,ADJ
squeaky,0.229,0.771,0.367,fear,ADJ
hateful,0.071,0.819,0.43,fear,ADJ
unreasonable,0.115,0.702,0.264,fear,ADJ
slutty,0.224,0.81,0.371,fear,ADJ
problematic,0.073,0.72,0.361,fear,ADJ
irresponsible,0.177,0.68,0.241,fear,ADJ
worse,0.062,0.704,0.225,fear,ADJ
frustrating,0.042,0.696,0.264,fear,ADJ
fugitive,0.104,0.922,0.388,fear,ADJ
worried,0.094,0.824,0.395,fear,ADJ
prejudicial,0.115,0.745,0.371,fear,ADJ
prematurely,0.292,0.657,0.289,fear,ADV
wobbly,0.208,0.759,0.225,fear,ADJ
jealous,0.173,0.855,0.345,fear,ADJ
jittery,0.344,0.856,0.255,fear,ADJ
sore,0.094,0.65,0.224,fear,ADJ
warped,0.219,0.663,0.304,fear,ADJ
wacky,0.153,0.72,0.321,fear,ADJ
gory,0.14,0.875,0.455,fear,ADJ
great disgust,0.042,0.836,0.389,fear,ADJ
greatly negative,0.051,0.64,0.282,fear,"ADV, ADJ"
vulgar,0.083,0.82,0.445,fear,ADJ
odious,0.235,0.708,0.235,fear,ADJ
grievous,0.146,0.64,0.179,fear,ADJ
grisly,0.083,0.863,0.426,fear,ADV
fright,0.177,0.816,0.191,fear,ADJ
painful,0.05,0.742,0.33,fear,ADJ
injurious,0.177,0.759,0.366,fear,ADJ
incurable,0.104,0.667,0.255,fear,ADJ
sinful,0.143,0.788,0.417,fear,ADJ
illegally,0.133,0.788,0.402,fear,ADV
illicit,0.188,0.794,0.39,fear,ADJ
twitchy,0.094,0.918,0.281,fear,ADJ
naked,0.323,0.885,0.288,fear,ADJ
mad,0.219,0.873,0.277,fear,ADJ
troublesome,0.283,0.894,0.404,fear,ADJ
imprudent,0.17,0.676,0.265,fear,ADJ
sexist,0.255,0.798,0.411,fear,ADJ
treacherous,0.112,0.815,0.402,fear,ADJ
traumatic,0.062,0.885,0.427,fear,ADJ
transsexual,0.264,0.815,0.423,fear,ADJ
rude,0.061,0.821,0.402,fear,ADJ
tragic,0.048,0.904,0.396,fear,ADJ
toxic,0.008,0.885,0.492,fear,ADJ
malignant,0.143,0.824,0.37,fear,ADJ
tortuous,0.194,0.755,0.382,fear,ADJ
ruinous,0.255,0.69,0.275,fear,ADJ
suicidal,0.021,0.867,0.382,fear,ADJ
messy,0.26,0.635,0.14,fear,ADJ
schizophrenic,0.102,0.958,0.433,fear,ADJ
manic,0.054,0.892,0.368,fear,ADJ
sarcastic,0.397,0.781,0.298,fear,ADJ
sassy,0.271,0.704,0.32,fear,ADJ
illegal,0.061,0.787,0.337,fear,ADJ
unorganized,0.26,0.657,0.173,fear,ADJ
hysterical,0.29,0.942,0.398,fear,ADJ
restless,0.219,0.81,0.304,fear,ADJ
obscene,0.05,0.745,0.348,fear,ADJ
indecent,0.083,0.683,0.24,fear,ADJ
shitty,0.02,0.679,0.163,fear,ADJ
shittest,0.076,0.673,0.232,fear,ADJ
reckless,0.262,0.788,0.279,fear,ADJ
stillbirth,0.092,0.809,0.291,fear,ADV
neurotic,0.198,0.801,0.387,fear,ADJ
unfaithful,0.031,0.806,0.298,fear,ADJ
hideous,0.091,0.75,0.328,fear,ADJ
nervy,0.25,0.83,0.241,fear,ADJ
nervous,0.235,0.82,0.213,fear,ADJ
horrendous,0.073,0.755,0.365,fear,ADJ
horrible,0.071,0.857,0.398,fear,ADJ
nauseous,0.135,0.78,0.284,fear,ADJ
undesirable,0.177,0.644,0.26,fear,ADJ
